Target Author,Target Author Name,Citing Paper,Citing Paper Title,Citing Paper Authors,Number of Authors,Citation Count
10141917500,Keshav S.,2-s2.0-84925533663,Overcoming economic challenges of internet operators in low income regions through a delay tolerant architecture with mechanic backhauls,"Marentes L,Wolf T,Nagurney A,Donoso Y,Castro H",5,2
10141917500,Keshav S.,2-s2.0-70549093011,Hardware acceleration for media/transaction applications in network processors,"Lee B.K,John L.K",2,2
10141917500,Keshav S.,2-s2.0-0035381440,Research and analysis of fast route lookup algorithms,"Wu J,Chen X.H,Wu J.P",3,1
10141917500,Keshav S.,2-s2.0-84915756361,CARPOOL: Connectivity plan routing protocol,"Komnios I,Tsaoussidis V",2,1
10141917500,Keshav S.,2-s2.0-84917677323,Dynamic Server Configuration for Multiple Streaming in a Home Network,"Lemarchand L,Mensah I.A,Babau J.P",3,1
10141917500,Keshav S.,2-s2.0-84949526273,Simultaneous multithreading-based routers,"Vibhatavanij K,Tzeng N.F,Kongmunvattana A",3,1
10141917500,Keshav S.,2-s2.0-84969780669,Resource-Saving File Management Scheme for Online Video Provisioning on Content Delivery Networks,"Kuo W.-H,Lin Y.-H",2,1
10141917500,Keshav S.,2-s2.0-84973333170,Robust geographical load balancing for sustainable data centers,"Chen T,Zhang Y,Wang X,Giannakis G.B",4,1
10141917500,Keshav S.,2-s2.0-84973862441,CHOKe-FS: CHOKe with fair bandwidth share,"Raza U,Abbas G,Hussain Z",3,1
10141917500,Keshav S.,2-s2.0-84986005329,Planning for green cloud data centers using sustainable energy,"Gu C,Li Z,Liu C,Huang H",4,1
10141917500,Keshav S.,2-s2.0-85013420782,Process for evaluating the data transfer performance of wireless traffic sensors for real-time intelligent transportation systems applications,"Zhou Y,Dey K.C,Chowdhury M,Wang K.-C",4,1
10141917500,Keshav S.,2-s2.0-85017005829,Reducing energy consumption for reconfiguration in cloud data centers,"Chakroun O,Cherkaoui S",2,1
10141917500,Keshav S.,2-s2.0-85017389233,Characterizing the Instantaneous Connectivity of Large-Scale Urban Vehicular Networks,"Naboulsi D,Fiore M",2,1
10141917500,Keshav S.,2-s2.0-85017420948,Analytical modeling of wireless communication systems,"Chiasserini C.F,Gribaudo M,Manini D",3,1
10141917500,Keshav S.,2-s2.0-84892345367,Progress in IP packet forwarding research,Wang P.-C,1,1
10141917500,Keshav S.,2-s2.0-84886537902,A study on the system architecture and key technologies of Telematics based on 3G,"Tang L.F,Wang C.J",2,1
10141917500,Keshav S.,2-s2.0-84875309794,Design universal security scheme for broadband router,"Gu X,Yang J",2,1
10141917500,Keshav S.,2-s2.0-0035786219,Rate control algorithm for low-bit-rate video streaming under the networks supporting bandwidth renegotiation,"Song H,Lee K.M",2,1
10141917500,Keshav S.,2-s2.0-11244287450,An empirical analysis of dynamic bandwidth allocation using RCBR for streaming VBR video services,"Kishore M,Liang Y",2,1
10141917500,Keshav S.,2-s2.0-18844381847,Evaluation of the MXQ mechanism by audio and video applications,"Obana K,Shimizu T,Murooka T,Hayashi K,Oguchi K",5,1
10141917500,Keshav S.,2-s2.0-26444447080,Semi-Markov model for a generalized VBR video in ATM networks,Rikli N.-E,1,1
10141917500,Keshav S.,2-s2.0-33846611060,Packet scheduling with revenue optimization and weighted delay minimization,"Joutsensalo J,Viinikainen A,Kannisto L,Hamalainen T",4,1
10141917500,Keshav S.,2-s2.0-4944224957,A comparative analysis of on-line measurement-based capacity allocation schemes,"Haciomeroglu F,Devetsikiotis M",2,1
10141917500,Keshav S.,2-s2.0-70349321411,Experimental study on secure data collection in vehicular sensor networks,"Gao H,Utecht S,Xu F,Wang H,Li Q",5,1
10141917500,Keshav S.,2-s2.0-70449556641,Hobrp: A hardware optimized packet scheduler that provides tunable end-to-end delay bound,"Wang R,Zhao Y,Guan H,Yang G",4,1
10141917500,Keshav S.,2-s2.0-84864575660,Asymmetry-aware load balancing for parallel applications in single-ISA multi-core systems,"Kim E,Eom H,Yeom H.Y",3,1
10141917500,Keshav S.,2-s2.0-84871483739,A secure message delivery scheme with path tracking for delay tolerant networks,"Jia Z,Raffay M.A,Li L,Lin X,Yang Y",5,1
10141917500,Keshav S.,2-s2.0-84871941011,Study of visiting frequency in a delay tolerant network,"Zhou J,Li J,Hu R.Q,Qian Y",4,1
10141917500,Keshav S.,2-s2.0-84872035202,"Evaluation of access technology to speed-up Internet penetration in remote areas, case study: Community access point in Regency of Garut, West Java, Indonesia","Kurniawan A,Wartika E",2,1
10141917500,Keshav S.,2-s2.0-85019865091,Improved routing algorithms in the dual-port datacenter networks HCN and BCN,"Erickson A,Stewart I.A,Pascual J.A,Navaridas J",4,1
