Target Author,Target Author Name,Citing Paper,Citing Paper Title,Citing Paper Authors,Number of Authors,Citation Count
10141917500,Keshav S.,2-s2.0-35449001221,Vehicular opportunistic communication under the microscope,"Hadaller D,Keshav S,Brecht T,Agarwal S",4,2
10141917500,Keshav S.,2-s2.0-67649470389,Routing in delay-tolerant networks comprising heterogeneous node populations,"Spyropoulos T,Turletti T,Obraczka K",3,2
10141917500,Keshav S.,2-s2.0-84872146396,From delay-tolerant networks to vehicular delay-tolerant networks,"Pereira P.R,Casaca A,Rodrigues J.J.P.C,Soares V.N.G.J,Triay J,Cervello-Pastor C",6,2
10141917500,Keshav S.,2-s2.0-0027694638,High-Speed Switch Scheduling for Local-Area Networks,"Anderson T.E,Owicki S.S,Saxe J.B,Thacker C.P",4,2
10141917500,Keshav S.,2-s2.0-84904616679,Energy and network aware workload management for sustainable data centers with thermal storage,"Guo Y,Gong Y,Fang Y,Khargonekar P.P,Geng X",5,1
10141917500,Keshav S.,2-s2.0-60149104098,Cabernet: Vehicular content delivery using WiFi,"Eriksson J,Balakrishnan H,Madden S",3,1
10141917500,Keshav S.,2-s2.0-77349115937,A survey of urban vehicular sensing platforms,"Lee U,Gerla M",2,1
10141917500,Keshav S.,2-s2.0-77955011171,Augmenting mobile 3G using WiFi,"Balasubramanian A,Mahajan R,Venkataramani A",3,1
10141917500,Keshav S.,2-s2.0-78649279855,Toward understanding characteristics of Dedicated Short Range Communications (DSRC) from a perspective of vehicular network engineers,"Bai F,Stancil D.D,Krishnan H",3,1
10141917500,Keshav S.,2-s2.0-84860886202,Disruption-tolerant networking: A comprehensive survey on recent developments and persisting challenges,"Khabbaz M.J,Assi C.M,Fawaz W.F",3,1
10141917500,Keshav S.,2-s2.0-84908607216,Cost minimization for big data processing in geo-distributed data centers,"Gu L,Zeng D,Li P,Guo S",4,1
10141917500,Keshav S.,2-s2.0-84883083121,Joint request mapping and response routing for geo-distributed cloud services,"Xu H,Li B",2,1
10141917500,Keshav S.,2-s2.0-84893874351,Harnessing renewable energy in cloud datacenters: Opportunities and challenges,"Deng W,Liu F,Jin H,Li B,Li D",5,1
10141917500,Keshav S.,2-s2.0-84894559511,Carbon-aware load balancing for geo-distributed cloud services,"Zhou Z,Liu F,Xu Y,Zou R,Xu H,Lui J.C.S,Jin H",7,1
10141917500,Keshav S.,2-s2.0-37849041028,Study of a bus-based disruption-tolerant network: Mobility modeling and impact on routing,"Zhang X,Kurose J.K,Levine B.N,Towsley D,Zhang H",5,1
10141917500,Keshav S.,2-s2.0-0010885553,On the relevance of long-range dependence in network traffic,"Grossglauser M,Bolot J.-C",2,1
10141917500,Keshav S.,2-s2.0-24344481940,Tree bitmap : Hardware/software IP lookups with incremental updates,"Eatherton W,Varghese G,Dittia Z",3,1
10141917500,Keshav S.,2-s2.0-0030171894,Efficient fair queuing using deficit round-robin,"Shreedhar M,Varghese G",2,1
10141917500,Keshav S.,2-s2.0-0031167787,The performance of TCP/IP for networks with high bandwidth-delay products and random loss,"Lakshman T.V,Madhow U",2,1
10141917500,Keshav S.,2-s2.0-0032139108,Supporting stored video: Reducing rate variability and end-to-end resource requirements through optimal smoothing,"Salehi J.D,Zhang Z.-L,Kurose J,Towsley D",4,1
10141917500,Keshav S.,2-s2.0-0032141929,Explicit allocation of best-effort packet delivery service,"Clark D.D,Fang W",2,1
10141917500,Keshav S.,2-s2.0-0032206931,An overview of quality of service routing for next-generation high-speed networks: Problems and solutions,"Chen S,Nahrstedt K",2,1
10141917500,Keshav S.,2-s2.0-0032667028,Admission control for statistical QoS: Theory and practice,"Knightly E.W,Shroff N.B",2,1
10141917500,Keshav S.,2-s2.0-0032674803,A framework for robust measurement-based admission control,"Grossglauser M,Tse D.N.C",2,1
10141917500,Keshav S.,2-s2.0-0034272054,Approaches to optical internet packet switching,"Hunter D.K,Andonovic I",2,1
10141917500,Keshav S.,2-s2.0-0035510001,MPEG-4 and H.263 video traces for network performance evaluation,"Fitzek F.H.P,Reisslein M",2,1
10141917500,Keshav S.,2-s2.0-0037648538,A comparison study on the number of wavelength converters needed in synchronous and asynchronous all-optical switching architectures,"Eramo V,Listanti M,Pacifici P",3,1
10141917500,Keshav S.,2-s2.0-0042526013,Measurement and analysis of single-hop delay on an IP backbone network,"Papagiannaki K,Moon S,Fraleigh C,Thiran P,Diot C",5,1
10141917500,Keshav S.,2-s2.0-0348233439,"Versatile Optical Code-Based MPLS for Circuit, Burst, and Packet Switchings","Kitayama K.-I,Murata M",2,1
10141917500,Keshav S.,2-s2.0-84925039081,Connected vehicles: Solutions and challenges,"Lu N,Cheng N,Zhang N,Shen X,Mark J.W",5,1
