Target Author,Citing Paper,Number of Authors,Overcite Count
22954842600,2-s2.0-84949979020,4,35
22954842600,2-s2.0-84941364129,4,29
22954842600,2-s2.0-84947445471,2,28
22954842600,2-s2.0-84978531937,4,28
22954842600,2-s2.0-84949980423,5,27
22954842600,2-s2.0-84939216533,2,26
22954842600,2-s2.0-84939824167,5,26
22954842600,2-s2.0-84938808943,2,25
22954842600,2-s2.0-84947439376,3,25
22954842600,2-s2.0-84935101151,4,24
22954842600,2-s2.0-84935119636,4,24
22954842600,2-s2.0-84937596887,4,24
22954842600,2-s2.0-84941346674,2,24
22954842600,2-s2.0-84945556761,2,24
22954842600,2-s2.0-84948424448,3,24
22954842600,2-s2.0-84950248493,3,24
22954842600,2-s2.0-84957108259,5,24
22954842600,2-s2.0-84948957825,2,23
22954842600,2-s2.0-84955370765,5,23
22954842600,2-s2.0-84934783243,6,22
22954842600,2-s2.0-84945558314,6,21
22954842600,2-s2.0-84949227832,5,21
22954842600,2-s2.0-84953839036,6,21
22954842600,2-s2.0-84934908064,5,20
22954842600,2-s2.0-84939443763,2,20
22954842600,2-s2.0-84944916455,3,20
22954842600,2-s2.0-84945260298,3,20
22954842600,2-s2.0-84961254768,2,20
22954842600,2-s2.0-84942373414,4,19
22954842600,2-s2.0-84944691388,4,19
22954842600,2-s2.0-84953836642,2,19
22954842600,2-s2.0-84955404578,3,19
22954842600,2-s2.0-84940006701,3,18
22954842600,2-s2.0-84946129918,3,18
22954842600,2-s2.0-84949975672,2,18
22954842600,2-s2.0-84953835860,2,18
22954842600,2-s2.0-84963780985,2,18
22954842600,2-s2.0-84930948390,5,17
22954842600,2-s2.0-84936803584,3,17
22954842600,2-s2.0-84938982009,2,17
22954842600,2-s2.0-84940522768,1,17
22954842600,2-s2.0-84940880755,2,17
22954842600,2-s2.0-84947749036,2,17
22954842600,2-s2.0-84953835977,3,17
22954842600,2-s2.0-84934989336,2,16
22954842600,2-s2.0-84938850681,1,16
22954842600,2-s2.0-84938978382,2,16
22954842600,2-s2.0-84946811923,5,16
22954842600,2-s2.0-84955355782,2,16
22954842600,2-s2.0-84955496631,4,16
22954842600,2-s2.0-84959852995,3,16
22954842600,2-s2.0-84934923301,2,15
22954842600,2-s2.0-84936885035,2,15
