Target Author,Citing Paper,Number of Authors,Overcite Count
10141917500,2-s2.0-0031077108,5,7
10141917500,2-s2.0-84894187760,3,3
10141917500,2-s2.0-0035275082,1,3
10141917500,2-s2.0-85014126098,4,3
10141917500,2-s2.0-84982803964,6,2
10141917500,2-s2.0-84941067099,2,2
10141917500,2-s2.0-84940214484,4,2
10141917500,2-s2.0-84867181338,4,2
10141917500,2-s2.0-84929580171,2,2
10141917500,2-s2.0-33747311343,2,2
10141917500,2-s2.0-84996559034,3,2
10141917500,2-s2.0-84922806458,4,2
10141917500,2-s2.0-0036664638,3,2
10141917500,2-s2.0-84982298250,3,2
10141917500,2-s2.0-84857220310,2,2
10141917500,2-s2.0-84976694894,4,2
10141917500,2-s2.0-73849117869,2,2
10141917500,2-s2.0-67650554176,8,2
10141917500,2-s2.0-60149090589,2,2
10141917500,2-s2.0-79953003141,3,2
10141917500,2-s2.0-77956045840,1,2
10141917500,2-s2.0-84969758619,3,2
10141917500,2-s2.0-79960842690,2,2
10141917500,2-s2.0-80052141256,3,2
10141917500,2-s2.0-80052857876,2,2
10141917500,2-s2.0-84976427046,2,2
10141917500,2-s2.0-0036447585,1,2
10141917500,2-s2.0-51049108819,2,2
10141917500,2-s2.0-0033228914,3,2
10141917500,2-s2.0-85012050566,4,2
10141917500,2-s2.0-84945139223,4,1
10141917500,2-s2.0-84949090586,2,1
10141917500,2-s2.0-84949484729,2,1
10141917500,2-s2.0-84906343650,4,1
10141917500,2-s2.0-84949926327,2,1
10141917500,2-s2.0-84905374096,2,1
10141917500,2-s2.0-84951335222,3,1
10141917500,2-s2.0-84948995391,2,1
10141917500,2-s2.0-84948770529,5,1
10141917500,2-s2.0-84906993232,3,1
10141917500,2-s2.0-84948738769,4,1
10141917500,2-s2.0-84907376677,7,1
10141917500,2-s2.0-84948715505,3,1
10141917500,2-s2.0-84947901505,4,1
10141917500,2-s2.0-84947246613,4,1
10141917500,2-s2.0-84908154985,3,1
10141917500,2-s2.0-84946553596,6,1
10141917500,2-s2.0-84951828866,6,1
10141917500,2-s2.0-84953293264,3,1
10141917500,2-s2.0-84954199335,2,1
10141917500,2-s2.0-84959528232,3,1
10141917500,2-s2.0-84959926028,6,1
10141917500,2-s2.0-84960893645,4,1
10141917500,2-s2.0-84960900220,2,1
10141917500,2-s2.0-84903974232,3,1
10141917500,2-s2.0-84960932200,3,1
10141917500,2-s2.0-84903939485,3,1
10141917500,2-s2.0-84960940947,2,1
10141917500,2-s2.0-84905367131,2,1
10141917500,2-s2.0-84959477928,3,1
10141917500,2-s2.0-84959043089,3,1
10141917500,2-s2.0-84954323966,3,1
10141917500,2-s2.0-84955331316,3,1
10141917500,2-s2.0-84955576913,4,1
10141917500,2-s2.0-84956645850,1,1
10141917500,2-s2.0-84956863608,2,1
10141917500,2-s2.0-84957629936,4,1
10141917500,2-s2.0-84949923353,2,1
10141917500,2-s2.0-84958568743,7,1
10141917500,2-s2.0-84961247169,3,1
10141917500,2-s2.0-84921368766,5,1
